1,H,1.007
2,He,4.002
3,Li,6.941
4,Be,9.012
5,B,10.811
6,C,12.011
7,N,14.007
8,O,15.999
9,F,18.998
10,Ne,20.18
11,Na,22.99
12,Mg,24.305
13,Al,26.982
14,Si,28.086
15,P,30.974
16,S,32.065
17,Cl,35.453
18,Ar,39.948
19,K,39.098
20,Ca,40.078
21,Sc,44.956
22,Ti,47.867
23,V,50.942
24,Cr,51.996
25,Mn,54.938
26,Fe,55.845
27,Co,58.933
28,Ni,58.693
29,Cu,63.546
30,Zn,65.38
31,Ga,69.723
32,Ge,72.64
33,As,74.922
34,Se,78.96
35,Br,79.904
36,Kr,83.798
37,Rb,85.468
38,Sr,87.62
39,Y,88.906
40,Zr,91.224
41,Nb,92.906
42,Mo,95.96
43,Tc,98
44,Ru,101.07
45,Rh,102.906
46,Pd,106.42
47,Ag,107.868
48,Cd,112.411
49,In,114.818
50,Sn,118.71
51,Sb,121.76
52,Te,127.6
53,I,126.904
54,Xe,131.293
55,Cs,132.905
56,Ba,137.327
71,Lu,174.967
72,Hf,178.49
73,Ta,180.948
74,W,183.84
75,Re,186.207
76,Os,190.23
77,Ir,192.217
78,Pt,195.084
79,Au,196.967
80,Hg,200.59
81,Tl,204.383
82,Pb,207.2
83,Bi,208.98
84,Po,210
85,At,210
86,Rn,222
87,Fr,223
88,Ra,226
103,Lr,262
104,Rf,261
105,Db,262
106,Sg,266
107,Bh,264
108,Hs,267
109,Mt,268
110,Ds ,271
111,Rg ,272
112,Cn ,285
113,Nh,284
114,Fl,289
115,Mc,288
116,Lv,292
117,Ts,295
118,Og,294
